input	canonical	year	precision	qualifier	calendar	range	valid	reason	stored	exported551	exported7	storedyear	storedvalid
’	’	0	none		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	’	’	’	0	false
534	0534	534	year		GREGORIAN	-	true		0534	0534	0534	534	true
544	0544	544	year		GREGORIAN	-	true		0544	0544	0544	544	true
1000	1000	1000	year		GREGORIAN	-	true		1000	1000	1000	1000	true
1002	1002	1002	year		GREGORIAN	-	true		1002	1002	1002	1002	true
1027/1028	1027/1028	1027	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1027/1028	1027/1028	1027/1028	1027	false
1056/1060	1056/1060	1056	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1056/1060	1056/1060	1056/1060	1056	false
1908 ?	1908 ?	1908	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	1908 ?	1908 ?	1908 ?	1908	false
AFT 1726	AFT 1726	1726	year	AFT	GREGORIAN	-	true		AFT 1726	AFT 1726	AFT 1726	1726	true
APR 1008	1008-04	1008	month		GREGORIAN	-	false	month names are not canonical; write 1008-04	1008-04	APR 1008	APR 1008	1008	true
APR 1382	1382-04	1382	month		GREGORIAN	-	false	month names are not canonical; write 1382-04	1382-04	APR 1382	APR 1382	1382	true
AUG  996	0996-08	996	month		GREGORIAN	-	false	month names are not canonical; write 0996-08	0996-08	AUG 0996	AUG 0996	996	true
AUG 1282	1282-08	1282	month		GREGORIAN	-	false	month names are not canonical; write 1282-08	1282-08	AUG 1282	AUG 1282	1282	true
AUG 1315	1315-08	1315	month		GREGORIAN	-	false	month names are not canonical; write 1315-08	1315-08	AUG 1315	AUG 1315	1315	true
DEC 1325	1325-12	1325	month		GREGORIAN	-	false	month names are not canonical; write 1325-12	1325-12	DEC 1325	DEC 1325	1325	true
DEC 1514	1514-12	1514	month		GREGORIAN	-	false	month names are not canonical; write 1514-12	1514-12	DEC 1514	DEC 1514	1514	true
FEB 1378	1378-02	1378	month		GREGORIAN	-	false	month names are not canonical; write 1378-02	1378-02	FEB 1378	FEB 1378	1378	true
FEB 1697/98	FEB 1697/98	1697	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	FEB 1697/98	FEB 1697/98	FEB 1697/98	1697	false
FEB 1839	1839-02	1839	month		GREGORIAN	-	false	month names are not canonical; write 1839-02	1839-02	FEB 1839	FEB 1839	1839	true
JAN 1297	1297-01	1297	month		GREGORIAN	-	false	month names are not canonical; write 1297-01	1297-01	JAN 1297	JAN 1297	1297	true
JAN 1597/98	JAN 1597/98	1597	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	JAN 1597/98	JAN 1597/98	JAN 1597/98	1597	false
JAN 1652/53	JAN 1652/53	1652	year		GREGORIAN	-	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	JAN 1652/53	JAN 1652/53	JAN 1652/53	1652	false
JAN 1772	1772-01	1772	month		GREGORIAN	-	false	month names are not canonical; write 1772-01	1772-01	JAN 1772	JAN 1772	1772	true
JUL 1181	1181-07	1181	month		GREGORIAN	-	false	month names are not canonical; write 1181-07	1181-07	JUL 1181	JUL 1181	1181	true
JUL 1313	1313-07	1313	month		GREGORIAN	-	false	month names are not canonical; write 1313-07	1313-07	JUL 1313	JUL 1313	1313	true
JUN 1897	1897-06	1897	month		GREGORIAN	-	false	month names are not canonical; write 1897-06	1897-06	JUN 1897	JUN 1897	1897	true
